人工智能,概要,"人工智能（Artificial Intelligence），英文缩写为AI。它是研究、开发用于模拟、延伸和扩展人的智能的理论、方法、技术及应用系统的一门新的技术科学。
人工智能是计算机科学的一个分支，它企图了解智能的实质，并生产出一种新的能以人类智能相似的方式做出反应的智能机器，该领域的研究包括机器人、语言识别、图像识别、自然语言处理和专家系统等。人工智能从诞生以来，理论和技术日益成熟，应用领域也不断扩大，可以设想，未来人工智能带来的科技产品，将会是人类智慧的“容器”。人工智能可以对人的意识、思维的信息过程的模拟。人工智能不是人的智能，但能像人那样思考、也可能超过人的智能。
人工智能是一门极富挑战性的科学，从事这项工作的人必须懂得计算机知识，心理学和哲学。人工智能是包括十分广泛的科学，它由不同的领域组成，如机器学习，计算机视觉等等，总的说来，人工智能研究的一个主要目标是使机器能够胜任一些通常需要人类智能才能完成的复杂工作。但不同的时代、不同的人对这种“复杂工作”的理解是不同的。2017年12月，人工智能入选“2017年度中国媒体十大流行语”。2021年9月25日，为促进人工智能健康发展，《新一代人工智能伦理规范》发布。
"
人工智能,中文名,人工智能
人工智能,外文名,ARTIFICIAL INTELLIGENCE
人工智能,简称,AI
人工智能,提出时间,1956年
人工智能,提出地点,DARTMOUTH学会
智慧,概要,"智慧是一个汉语词语，拼音：zhì huì，一指聪明才智，二指梵语“般若”（音bo-re）的意译。出自《墨子·尚贤中》：“若此之使治国家，则此使不智慧者治国家也，国家之乱，既可得而知已。”
智慧是生命所具有的基于生理和心理器官的一种高级创造思维能力，包含对自然与人文的感知、记忆、理解、分析、判断、升华等所有能力。智慧与智力不同，智慧表达智力器官的综合终极功能，与“形而上之道”有异曲同工之处；智力则谓“形而下之器”，是生命的一部分技能。
在我们的日常生活中，智慧体现为更好地解决问题的能力。
"
智慧,中文名,智慧
智慧,外文名,wisdom
智慧,拼音,zhì huì
智慧,别名,聪明、才智
智慧,出处,《墨子·尚贤中》
智慧,注音,ㄓˋ ㄏㄨㄟˋ
专家系统,概要,"专家系统是一个智能计算机程序系统，其内部含有大量的某个领域专家水平的知识与经验，能够利用人类专家的知识和解决问题的方法来处理该领域问题。也就是说，专家系统是一个具有大量的专门知识与经验的程序系统，它应用人工智能技术和计算机技术，根据某领域一个或多个专家提供的知识和经验，进行推理和判断，模拟人类专家的决策过程，以便解决那些需要人类专家处理的复杂问题，简而言之，专家系统是一种模拟人类专家解决领域问题的计算机程序系统。
"
专家系统,中文名,专家系统
专家系统,外文名,Expert system
专家系统,实质,智能计算机程序系统
专家系统,特点,模拟人类专家解决领域问题
模拟,概要,"模拟（mó nǐ），是对真实事物或者过程的虚拟。模拟要表现出选定的物理系统或抽象系统的关键特性。模拟的关键问题包括有效信息的获取、关键特性和表现的选定、近似简化和假设的应用，以及模拟的重现度和有效性。可以认为仿真是一种重现系统外在表现的特殊的模拟。
模拟在计算机体系中的概念：
模拟：用软件的方法在一台现有的计算机（称为宿主机）上实现另一台计算机（称为虚拟机）的指令系统。
"
模拟,中文名,模拟
模拟,拼音,mó nǐ
模拟,定义,对真实事物或者过程的虚拟
模拟,关键问题,有效信息的获取
模拟,采用方法,虚拟具体假想情形的方法
模拟,应用领域,物理、工程等
人类智能,概要,"人类智能，是一个人类学术语，就是人类认识世界和改造世界的才智和本领，是人类发明的智能。
"
人类智能,中文名,人类智能
人类智能,性质,人类发明的智能
人类智能,核心,思维
人类智能,特点,具备人类思想
研究,概要,"研究，汉语词语，意思是主动寻求根本性原因与更高可靠性依据，从而为提高事业或功率的可靠性和稳健性而做的工作。出自刘义庆 《世说新语·文学》。
"
研究,中文名,研究
研究,外文名,Research
研究,拼音,yán jiū
研究,解释,钻研；探索
智能,概要,"智能，是智力和能力的总称，中国古代思想家一般把智与能看做是两个相对独立的概念。也有不少思想家把二者结合起来作为一个整体看待。
"
智能,中文名,智能
智能,外文名,Intelligence
智能,拼音,zhì néng
